country,series,series_type,n_obs,adf_stat,p_value,crit_5pct,result
us,gdp_level,level,104,0.9545,0.9938,-2.8903,non-stationary (I(1))
us,cpi_level,level,104,2.0292,0.9987,-2.8903,non-stationary (I(1))
us,indpro_level,level,104,-2.0508,0.2647,-2.89,non-stationary (I(1))
us,m2_level,level,104,0.5097,0.9852,-2.8906,non-stationary (I(1))
us,unrate,level,104,-2.9028,0.045,-2.89,stationary (I(0))
us,fed_funds_rate,level,104,-3.8252,0.0027,-2.8906,stationary (I(0))
us,gdp_growth,growth/diff,104,-12.2068,0.0,-2.89,stationary (I(0))
us,cpi_growth,growth/diff,104,-6.6588,0.0,-2.89,stationary (I(0))
us,indpro_growth,growth/diff,104,-9.7184,0.0,-2.89,stationary (I(0))
us,m2_growth,growth/diff,104,-6.0649,0.0,-2.89,stationary (I(0))
india,cpi_level,level,100,0.3946,0.9813,-2.8954,non-stationary (I(1))
india,gdp_growth,growth/diff,100,-3.0119,0.0338,-2.8925,stationary (I(0))
india,cpi_growth,growth/diff,99,-1.531,0.5181,-2.8954,non-stationary (I(1))
japan,cpi_level,level,86,-0.7295,0.8389,-2.8962,non-stationary (I(1))
japan,indpro_level,level,97,-3.1418,0.0236,-2.8925,stationary (I(0))
japan,unrate,level,105,-1.1972,0.6748,-2.8922,non-stationary (I(1))
japan,interest_rate,level,105,-1.148,0.6955,-2.8906,non-stationary (I(1))
japan,oecd_leading_index,level,105,-3.5546,0.0067,-2.8915,stationary (I(0))
japan,gdp_growth,growth/diff,105,-6.4695,0.0,-2.8906,stationary (I(0))
japan,cpi_growth,growth/diff,85,-8.8009,0.0,-2.8966,stationary (I(0))
japan,indpro_growth,growth/diff,96,-6.3459,0.0,-2.8935,stationary (I(0))
germany,gdp_level,level,104,-0.9173,0.7822,-2.8903,non-stationary (I(1))
germany,cpi_level,level,100,1.5217,0.9976,-2.8932,non-stationary (I(1))
germany,indpro_level,level,96,-2.2404,0.1919,-2.8925,non-stationary (I(1))
germany,unrate,level,104,-0.8292,0.8104,-2.8906,non-stationary (I(1))
germany,interest_rate,level,104,-3.1173,0.0253,-2.8903,stationary (I(0))
germany,oecd_leading_index,level,104,-3.2549,0.017,-2.8918,stationary (I(0))
germany,gdp_growth,growth/diff,104,-11.639,0.0,-2.89,stationary (I(0))
germany,cpi_growth,growth/diff,100,-3.3013,0.0148,-2.8928,stationary (I(0))
germany,indpro_growth,growth/diff,96,-9.4107,0.0,-2.8925,stationary (I(0))
