,us,us,us,us,us,us,us,us,us,us,us,us,us,india,india,india,india,india,india,india,india,india,india,india,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,japan,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany,germany
,gdp_level,gdp_growth,cpi_level,m2_level,fed_funds_rate,unrate,indpro_level,cpi_growth,indpro_growth,m2_growth,recession,covid_shock,quarter,gdp_growth,cpi_level,cpi_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,recession,covid_shock,quarter,gdp_growth,cpi_level,unrate,indpro_level,interest_rate,cpi_growth,indpro_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,oecd_leading_index,recession,covid_shock,quarter,gdp_level,gdp_growth,cpi_level,unrate,indpro_level,interest_rate,cpi_growth,indpro_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,oecd_leading_index,recession,covid_shock,quarter
count,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.0,86.0,105.0,97.0,105.0,85.0,96.0,100.0,100.0,104.0,100.0,100.0,105.0,105.0,105.0,105.0,104.0,104.0,100.0,104.0,96.0,104.0,100.0,96.0,99.0,99.0,103.0,99.0,99.0,104.0,104.0,104.0,104.0
mean,18371.4043,0.5328,234.9904,11956.7676,1.9882,5.6434,97.3259,0.6317,0.0968,1.5119,0.125,0.0096,2.5,6.2567,84.6169,1.5057,6.2567,6.0911,7.1478,-2.9687,32.1996,0.01,0.01,2.5,0.1943,98.4731,3.76,101.7032,0.0862,0.0247,-0.1438,0.7094,0.4142,3.7812,-0.0019,28.4368,86.4692,0.0857,0.0095,2.4857,689961.5298,0.246,97.8657,5.8856,93.7946,1.4323,0.4704,0.1365,1.0963,1.9042,6.0895,4.9884,26.2536,86.4842,0.0577,0.0096,2.5
std,2870.7652,1.2503,42.1125,5687.6337,2.0077,1.9344,4.6946,0.6029,1.9948,1.4295,0.3323,0.0981,1.1234,3.0356,38.685,1.291,3.0356,2.4514,1.0802,1.7021,3.1389,0.1,0.1,1.1237,1.2902,1.8827,1.0171,7.0739,0.1696,0.4784,3.7687,2.0151,1.2128,1.0153,1.4661,1.8053,11.8804,0.2813,0.0976,1.1276,61077.0706,1.4948,12.3667,2.5979,7.4817,1.7304,0.5785,3.3038,2.2785,1.5174,2.6152,1.6139,2.4751,11.9369,0.2343,0.0981,1.1234
min,14130.908,-8.2043,171.4333,4765.7,0.06,3.5333,85.2489,-2.3168,-13.438,-1.7142,0.0,0.0,1.0,-5.7777,35.7923,-1.2526,-5.7777,3.3282,4.172,-6.7249,26.119,0.0,0.0,1.0,-7.2402,95.8344,2.3,82.3162,-0.0663,-1.2105,-21.8645,-5.6932,-1.3528,2.351,-3.7201,24.8957,40.8545,0.0,0.0,1.0,598434.0,-9.2928,79.6403,2.9,80.1546,-0.5837,-0.7328,-20.0378,-5.5446,0.1449,3.071,0.1657,21.0728,40.8545,0.0,0.0,1.0
25%,16346.9465,0.2726,202.9583,7010.675,0.1508,4.1667,93.1122,0.3955,-0.3108,1.0062,0.0,0.0,1.75,5.2413,46.2183,0.668,5.2413,4.0094,7.553,-3.7613,29.8661,0.0,0.0,1.75,-0.1544,96.9458,2.7,97.2337,-0.0193,-0.2468,-0.8968,0.1043,-0.2725,2.808,-0.646,28.1462,84.9108,0.0,0.0,1.0,628245.2,-0.119,87.7801,3.5667,86.0744,-0.182,0.113,-0.6546,0.397,1.1038,3.711,4.0483,23.7954,85.2347,0.0,0.0,1.75
50%,17686.0355,0.6142,232.1722,10596.6833,1.255,5.0167,98.9272,0.6892,0.4159,1.3998,0.0,0.0,2.5,7.4102,80.3315,1.6978,7.4102,5.1314,7.611,-2.7912,31.7264,0.0,0.0,2.5,0.2705,97.633,3.8667,101.4754,0.0193,-0.0666,0.4976,1.3724,-0.0086,3.945,0.3416,28.7684,90.0631,0.0,0.0,2.0,682543.1,0.282,97.5679,4.9833,96.1985,0.8833,0.3642,0.4208,1.1621,1.5469,5.316,5.1201,27.0261,90.1131,0.0,0.0,2.5
75%,20569.728,0.8714,256.14,15046.0167,3.7142,6.2083,100.9247,0.9005,0.8235,1.8777,0.0,0.0,3.25,7.9234,115.2056,2.2798,7.9234,6.699,7.636,-1.7856,35.1318,0.0,0.0,3.25,0.8251,99.983,4.6667,104.7012,0.093,0.334,1.4092,1.6753,0.7953,4.734,1.2984,29.6493,93.8481,0.0,0.0,3.0,757818.25,0.6905,104.4758,7.925,99.4523,3.0755,0.7531,1.2765,2.7979,2.0752,7.917,5.8686,27.6247,93.8814,0.0,0.0,3.25
max,24152.656,7.4757,328.1137,22580.9,6.52,13.0,104.0491,2.3243,9.0513,12.4572,1.0,1.0,4.0,9.6896,158.9105,6.6052,9.6896,11.9894,7.859,-0.3932,37.0114,1.0,1.0,4.0,4.9947,102.2822,5.4333,118.9582,0.728,2.4463,6.9676,4.0979,3.2681,5.386,1.9082,31.0681,99.8884,1.0,1.0,4.0,774366.6,8.3206,127.3224,11.2,106.0889,4.8433,2.8101,13.4084,4.1346,6.8726,11.193,7.4142,30.0075,99.8884,1.0,1.0,4.0
