,gdp_level,gdp_growth,cpi_level,cpi_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,recession,covid_shock,quarter
2011-07-01,2042870.16,-2.8943903751812883,74.46605000000001,3.8399115570902254,5.24131619937695,8.91179336483371,7.609,-6.54305737438719,35.1317930938104,0,0,3
2011-10-01,2225135.23,8.546193108119482,75.74115666666667,1.6978377077452755,5.24131619937695,8.91179336483371,7.609,-6.54305737438719,35.1317930938104,0,0,4
2012-01-01,2365461.4,6.115540675332021,76.2512,0.6711459168564637,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,1
2012-04-01,2205223.44,-7.01442609544678,78.92891333333334,3.4514463083646696,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,2
2012-07-01,2195945.88,-0.4215958563413835,81.73414000000001,3.4924168687284762,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,3
2012-10-01,2344767.21,6.557324764680672,83.39178,2.0077958516617755,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,4
2013-01-01,2467081.87,5.084989687085262,85.17692,2.1180761762468414,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,1
2013-04-01,2347396.37,-4.972923676157492,87.34460000000001,2.5130709287185304,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,2
2013-07-01,2357078.87,0.411629913121736,90.53236,3.58461414482667,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,3
2013-10-01,2497997.34,5.8066261428782795,92.18999333333333,1.814423664200504,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,4
2014-01-01,2598897.56,3.9597992871941656,91.0424,-1.2526260426865221,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,1
2014-04-01,2535750.59,-2.459765577615869,93.33758999999999,2.489758853481039,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,2
2014-07-01,2562241.58,1.0392808603153725,96.65285,3.4902772458290876,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,3
2014-10-01,2645947.14,3.2146595619076734,96.78036000000002,0.13183880727538622,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,4
2015-01-01,2783733.23,5.076382715447636,97.03538666666667,0.26316418375271766,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,1
2015-04-01,2728278.58,-2.0122061787649415,98.82053,1.8229653717410699,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,2
2015-07-01,2768087.1,1.4485650487582546,101.11573333333332,2.2960358725518937,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,3
2015-10-01,2836387.39,2.437469263812453,103.02839999999999,1.873894296342904,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,4
2016-01-01,3036737.91,6.825268669889972,102.51833333333333,-0.49630340057351674,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,1
2016-04-01,2965087.78,-2.3877245952636628,104.94099999999999,2.3356643094756713,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,2
