date,value
2000-01-01,595801.6
2000-04-01,600554.6
2000-07-01,600993.3
2000-10-01,598434.0
2001-01-01,611139.0
2001-04-01,609603.5
2001-07-01,609603.5
2001-10-01,607702.4
2002-01-01,604868.8
2002-04-01,607208.7
2002-07-01,611376.7
2002-10-01,609694.9
2003-01-01,601413.9
2003-04-01,602291.3
2003-07-01,607775.3
2003-10-01,608506.6
2004-01-01,607574.3
2004-04-01,611157.3
2004-07-01,609183.0
2004-10-01,608963.7
2005-01-01,609932.4
2005-04-01,613588.6
2005-07-01,618414.8
2005-10-01,620754.8
2006-01-01,627683.0
2006-04-01,638432.0
2006-07-01,643258.1
2006-10-01,652690.9
2007-01-01,653550.2
2007-04-01,657864.4
2007-07-01,661227.9
2007-10-01,666127.0
2008-01-01,670039.3
2008-04-01,667626.3
2008-07-01,663970.0
2008-10-01,653659.5
2009-01-01,623021.3
2009-04-01,624556.9
2009-07-01,628432.6
2009-10-01,633258.8
2010-01-01,637864.9
2010-04-01,651685.4
2010-07-01,657974.1
2010-10-01,662288.5
2011-01-01,674262.0
2011-04-01,676090.1
2011-07-01,679746.2
2011-10-01,679673.1
2012-01-01,681117.2
2012-04-01,681848.5
2012-07-01,683237.7
2012-10-01,681190.4
2013-01-01,677424.3
2013-04-01,685321.8
2013-07-01,688831.7
2013-10-01,689855.5
2014-01-01,697058.0
2014-04-01,696911.7
2014-07-01,700787.1
2014-10-01,706124.9
2015-01-01,704589.7
2015-04-01,708245.7
2015-07-01,712048.0
2015-10-01,715704.0
2016-01-01,721992.8
2016-04-01,723601.4
2016-07-01,726160.6
2016-10-01,729524.2
2017-01-01,738993.4
2017-04-01,744258.4
2017-07-01,750181.4
2017-10-01,757786.3
2018-01-01,753599.8
2018-04-01,759522.8
2018-07-01,754550.4
2018-10-01,757914.1
2019-01-01,762886.4
2019-04-01,763325.1
2019-07-01,766250.1
2019-10-01,763690.8
2020-01-01,748188.8
2020-04-01,681793.6
2020-07-01,740949.7
2020-10-01,748115.7
2021-01-01,743509.0
2021-04-01,760985.2
2021-07-01,761643.3
2021-10-01,765738.2
2022-01-01,770929.9
2022-04-01,772099.8
2022-07-01,774366.6
2022-10-01,771661.1
2023-01-01,768023.3
2023-04-01,767438.2
2023-07-01,767438.3
2023-10-01,765317.7
2024-01-01,764495.1
2024-04-01,762520.8
2024-07-01,762667.0
2024-10-01,764056.4
2025-01-01,766908.1
2025-04-01,765372.5
2025-07-01,765080.1
2025-10-01,766908.1
2026-01-01,769540.5
