date,value
2000-01-01,80.28351
2000-04-01,82.44201
2000-07-01,83.85954
2000-10-01,84.1817
2001-01-01,84.5683
2001-04-01,83.60181
2001-07-01,82.76418
2001-10-01,80.96005
2002-01-01,81.37887
2002-04-01,82.05541
2002-07-01,82.57088
2002-10-01,82.21649
2003-01-01,82.63531
2003-04-01,81.95876
2003-07-01,81.76546
2003-10-01,83.63402
2004-01-01,84.08505
2004-04-01,85.18041
2004-07-01,85.47036
2004-10-01,85.18041
2005-01-01,86.27577
2005-04-01,87.1134
2005-07-01,88.24098
2005-10-01,89.88402
2006-01-01,90.39948
2006-04-01,92.20361
2006-07-01,94.07217
2006-10-01,95.03866
2007-01-01,96.61727
2007-04-01,97.68041
2007-07-01,99.48454
2007-10-01,100.4188
2008-01-01,101.482
2008-04-01,100.6765
2008-07-01,99.45232
2008-10-01,92.68686
2009-01-01,81.0567
2009-04-01,80.50902
2009-07-01,83.44072
2009-10-01,84.82603
2010-01-01,86.50129
2010-04-01,90.91495
2010-07-01,92.3969
2010-10-01,95.81186
2011-01-01,96.93943
2011-04-01,97.84149
2011-07-01,99.19459
2011-10-01,98.26031
2012-01-01,98.2281
2012-04-01,98.16366
2012-07-01,98.48582
2012-10-01,96.06959
2013-01-01,96.32732
2013-04-01,97.68041
2013-07-01,98.2281
2013-10-01,99.16237
2014-01-01,99.25902
2014-04-01,98.77577
2014-07-01,98.74355
2014-10-01,99.93557
2015-01-01,99.29124
2015-04-01,100.5155
2015-07-01,100.3544
2015-10-01,99.83892
2016-01-01,100.9021
2016-04-01,100.5155
2016-07-01,100.8698
2016-10-01,100.9665
2017-01-01,101.4497
2017-04-01,103.4472
2017-07-01,105.1546
2017-10-01,105.8956
2018-01-01,105.3157
2018-04-01,106.0889
2018-07-01,105.1224
2018-10-01,103.576
2019-01-01,103.3827
2019-04-01,102.2874
2019-07-01,101.1276
2019-10-01,99.45232
2020-01-01,97.93814
2020-04-01,80.15464
2020-07-01,91.65593
2020-10-01,97.48711
2021-01-01,97.74484
2021-04-01,96.64948
2021-07-01,93.52448
2021-10-01,96.32732
2022-01-01,95.77964
2022-04-01,94.97423
2022-07-01,95.5219
2022-10-01,95.32861
2023-01-01,96.55283
2023-04-01,94.87758
2023-07-01,92.46134
2023-10-01,91.23711
2024-01-01,91.52706
