date,value
1961-01-01,3.971438
1961-04-01,5.239927
1961-04-01,7.409879
1961-07-01,6.121194
1961-07-01,8.322359
1961-10-01,6.660063
1961-10-01,10.31005
1962-11-01,100.0112
1962-01-01,6.86151
1962-01-01,8.07064
1962-04-01,6.971203
1962-04-01,6.877658
1962-07-01,6.717294
1962-07-01,5.162466
1962-10-01,6.248001
1962-10-01,4.737787
1963-01-01,3.89548
1963-01-01,2.630487
1963-04-01,5.606666
1963-07-01,6.699401
1963-10-01,6.201995
1964-01-01,7.065479
1964-01-01,15.92955
1964-04-01,3.154239
1964-07-01,1.317085
1964-10-01,-0.1339445
1965-09-01,100.0579
1965-10-01,100.0097
1965-11-01,99.96838
1965-01-01,-0.2639761
1965-04-01,2.764439
1965-07-01,4.309504
1965-10-01,6.32153
1966-01-01,5.919712
1966-04-01,5.328251
1966-07-01,6.880078
1966-07-01,34.89799
1966-07-01,10.98615
1966-10-01,34.35305
1966-10-01,5.802717
1966-10-01,11.47179
1967-01-01,11.4433
1967-01-01,34.18206
1967-01-01,6.879902
1967-04-01,34.07521
1967-04-01,7.64556
1967-04-01,10.13228
1967-07-01,34.89799
1967-07-01,6.301414
1967-07-01,11.24638
1967-10-01,35.34676
1967-10-01,7.884903
1967-10-01,11.17546
1968-11-01,99.96915
1968-01-01,10.88931
1968-01-01,35.76042
1968-01-01,6.031793
1968-04-01,5.973454
1968-04-01,36.03838
1968-04-01,11.66872
1968-07-01,36.82949
1968-07-01,10.36964
1968-07-01,6.874523
1968-10-01,37.38541
1968-10-01,7.257052
1968-10-01,14.44549
1969-01-01,8.672653
1969-01-01,38.32619
1969-04-01,8.365127
1969-04-01,38.81795
1969-07-01,6.073815
1969-07-01,39.65186
1969-10-01,1.552415
1969-10-01,40.26121
1970-12-01,100.1092
1970-01-01,46.39642
1970-01-01,39.61877
1970-01-01,5.982116
1970-04-01,41.19395
1970-04-01,4.862221
1970-07-01,41.96338
1970-10-01,42.31907
1971-01-01,100.0355
1971-02-01,99.96957
1971-01-01,41.50607
1971-04-01,42.37714
1971-07-01,3.453963
1971-07-01,43.11028
1971-10-01,4.733731
1971-10-01,43.07399
1972-01-01,40.88996
1972-01-01,43.11753
1972-01-01,7.169686
1972-04-01,43.82164
1972-04-01,41.04705
1972-04-01,7.453256
1972-07-01,41.41153
1972-07-01,44.84514
1972-07-01,8.425771
1972-10-01,45.54199
1972-10-01,10.1499
1972-10-01,42.09906
1973-03-01,103.1915
1973-01-01,5.008155
1973-01-01,42.9378
1973-01-01,46.17171
1973-01-01,10.24234
1973-04-01,46.51286
1973-04-01,9.195429
1973-04-01,5.73643
1973-04-01,43.40169
1973-07-01,7.22518
1973-07-01,5.705915
1973-07-01,46.66529
1973-07-01,43.77444
1973-10-01,5.308799
1973-10-01,46.78143
1973-10-01,44.33402
1973-10-01,5.886436
1974-01-01,47.17705
1974-01-01,-1.060991
1974-01-01,4.242214
1974-01-01,44.75931
1974-04-01,-1.251363
1974-04-01,3.64434
1974-04-01,44.98339
1974-04-01,47.14075
1974-07-01,47.14076
1974-07-01,-0.2785845
1974-07-01,3.731282
1974-07-01,45.40779
1974-10-01,-2.030072
1974-10-01,44.72205
1974-10-01,46.54551
1975-01-01,44.52084
1975-01-01,1.588693
1975-01-01,46.27694
1975-04-01,3.101463
1975-04-01,44.63337
1975-04-01,46.04465
1975-07-01,46.54552
1975-07-01,2.957396
1975-07-01,44.80626
1975-07-01,17.92737
1975-10-01,4.607339
1975-10-01,45.41129
1975-10-01,18.48842
1975-10-01,47.46017
1976-01-01,5.355843
1976-01-01,46.0778
1976-01-01,19.04457
1976-01-01,47.8866
1976-04-01,46.62717
1976-04-01,48.59797
1976-04-01,3.676519
1976-04-01,19.59956
1976-07-01,46.84768
1976-07-01,48.61248
1976-07-01,3.951115
1976-07-01,19.94014
1976-07-01,4.440716
1976-10-01,47.43133
1976-10-01,49.51258
1976-10-01,20.05672
1976-10-01,2.991759
1977-01-01,20.17116
1977-01-01,4.360184
1977-01-01,49.93539
1977-01-01,47.95566
1977-04-01,48.16417
1977-04-01,50.2185
1977-04-01,4.477405
1977-04-01,2.60036
1977-04-01,20.28582
1977-07-01,48.38497
1977-07-01,3.185989
1977-07-01,50.20398
1977-07-01,3.731142
1977-07-01,20.38737
1977-10-01,4.878946
1977-10-01,20.47423
1977-10-01,48.49541
1977-10-01,5.013334
1977-10-01,51.06781
1978-01-01,49.13269
1978-01-01,51.27827
1978-01-01,45.0931
1978-01-01,4.707019
1978-01-01,20.55953
1978-01-01,6.536367
1978-04-01,8.163618
1978-04-01,20.64497
1978-04-01,4.985895
1978-04-01,51.48153
1978-04-01,49.68608
1978-07-01,9.06114
1978-07-01,52.15662
1978-07-01,50.04324
1978-07-01,20.67921
1978-07-01,5.623637
1978-10-01,20.65831
1978-10-01,9.181234
1978-10-01,50.60393
1978-10-01,5.713888
1978-10-01,52.76639
1979-01-01,52.83164
1979-01-01,9.284451
1979-01-01,50.85585
1979-01-01,5.305508
1979-01-01,20.63622
1979-04-01,6.197364
1979-04-01,54.47219
1979-04-01,51.44202
1979-04-01,9.392879
1979-04-01,20.61565
1979-07-01,5.641056
1979-07-01,51.71159
1979-07-01,20.49794
1979-07-01,9.214405
1979-10-01,4.590912
1979-10-01,51.81595
1979-10-01,8.749299
1979-10-01,20.27674
1980-01-01,9.274204
1980-01-01,20.05803
1980-01-01,3.44394
1980-04-01,19.83921
1980-04-01,1.052248
1980-04-01,7.606767
1980-07-01,7.699434
1980-07-01,19.89266
1980-07-01,2.533762
1980-10-01,-0.2283013
1980-10-01,20.23044
1980-10-01,4.25994
1980-10-01,8.732685
1981-01-01,8.165443
1981-01-01,2.536158
1981-01-01,4.49937
1981-01-01,20.56673
1981-04-01,20.89904
1981-04-01,5.342097
1981-04-01,6.338765
1981-04-01,10.24894
1981-07-01,8.483373
1981-07-01,6.292881
1981-07-01,21.14449
1981-07-01,3.7777
1981-10-01,21.29521
1981-10-01,7.319118
1981-10-01,5.263164
1981-10-01,2.359574
1982-01-01,21.4437
1982-01-01,3.294956
1982-01-01,2.952408
1982-01-01,4.264014
1982-04-01,2.746764
1982-04-01,3.31547
1982-04-01,0.5050595
1982-07-01,3.425808
1982-07-01,-0.7366849
1982-10-01,4.103125
1982-10-01,-4.623493
1983-04-01,46.08782
1983-05-01,46.45119
1983-06-01,46.7603
1983-07-01,47.01307
1983-01-01,-3.468731
1983-01-01,2.596482
1983-04-01,-5.553619
1983-04-01,2.663112
1983-07-01,-4.079716
1983-07-01,3.745838
1983-10-01,-0.7995198
1983-10-01,3.17643
1984-01-01,4.298916
1984-01-01,2.69785
1984-04-01,3.262565
1984-04-01,5.088233
1984-07-01,4.804343
1984-07-01,4.892368
1984-10-01,4.117805
1984-10-01,2.785532
1985-01-01,1.8543
1985-01-01,5.454787
1985-04-01,3.286315
1985-04-01,5.985128
1985-07-01,1.474999
1985-07-01,6.07569
1985-10-01,2.099228
1985-10-01,7.299626
1986-03-01,100.0511
1986-07-01,98.38625
1986-08-01,98.30985
1986-09-01,98.23981
1986-10-01,98.18135
1986-11-01,98.13194
1986-12-01,98.08289
1986-01-01,5.149536
1986-01-01,-1.66809
1986-04-01,-1.950428
1986-04-01,2.809357
1986-07-01,27.35734
1986-07-01,-4.409441
1986-10-01,28.13163
1986-10-01,-4.410904
1987-01-01,98.03288
1987-02-01,98.00497
1987-03-01,98.00452
1987-04-01,98.03986
1987-05-01,98.12685
1987-06-01,98.26385
1987-07-01,98.45777
1987-08-01,98.70861
1987-09-01,99.01234
1987-01-01,-1.949127
1987-01-01,28.08167
1987-04-01,1.111442
1987-04-01,29.2695
1987-07-01,3.178231
1987-07-01,29.76468
1987-10-01,31.76203
1987-10-01,4.710846
1988-08-01,4.229875
1988-09-01,4.442815
1988-10-01,4.611725
1988-11-01,4.677323
