date,value
2000-01-01,1966980701145.1
2001-01-01,1966381496641.73
2002-01-01,2102350798305.89
2003-01-01,2534715518349.01
2004-01-01,2852317768061.78
2005-01-01,2893393187361.87
2006-01-01,3046308753670.58
2007-01-01,3484056680854.91
2008-01-01,3808197720125.0
2009-01-01,3478545516683.59
2010-01-01,3467093769666.67
2011-01-01,3823575803793.78
2012-01-01,3596483233406.25
2013-01-01,3807023797050.99
2014-01-01,3964870735760.77
2015-01-01,3425099578746.09
2016-01-01,3536787895179.0
2017-01-01,3765351626105.89
2018-01-01,4055433215301.96
2019-01-01,3959894794039.21
2020-01-01,3941398957073.94
2021-01-01,4355251953410.78
2022-01-01,4201021706478.62
2023-01-01,4562207532490.28
2024-01-01,4685592577804.69
