Year,Quarter,"Agriculture, forestry & fishing",Mining & quarrying,Manufacturing,"Electricity, gas ,water supply& other utility services",Construction,"Trade, hotels, transport, communication and services related to broadcasting","Financial, real estate & professional services","Public administration, defence and Other Services",GVA at Basic Price,GFCE,PFCE,GFCF,CIS,Valuables,Exports of goods and services,Imports of goods and services,Discrepancies,GDP
2011-12,Q1,336108.84,67872.92,356022.31,46302.44,186776.64,338657.92,404493.01,232898.35,1969132.43,204165.15,1236604.36,696954.79,52515.9,59926.73,506866.91,643806.29,-10364.72,2102862.82
2011-12,Q2,269074.12,56967.37,333104.49,46466.05,190701.47,340496.56,410625.9,265771.16,1913207.14,257146.7,1127292.93,727748.92,49135.35,65430.2,507189.19,640633.57,-50439.56,2042870.16
2011-12,Q3,500965.58,64848.79,333674.45,46622.95,195723.78,348957.07,340343.24,242759.67,2073895.53,220375.1,1264939.5,752161.74,49219.42,60517.14,553499.21,713920.56,38343.68,2225135.23
2011-12,Q4,395797.55,71346.27,387184.0,47276.56,204132.57,385005.51,375416.49,284552.61,2150711.56,286688.05,1281610.5,820867.22,57112.47,67159.26,576375.69,717193.58,-7158.23,2365461.4
2012-13,Q1,341199.19,70780.17,358339.68,48479.92,189865.8,374094.99,442486.83,249342.59,2074589.17,228822.6,1225156.81,763691.79,48568.69,69769.11,532776.12,677719.59,14157.91,2205223.44
2012-13,Q2,274362.46,55618.24,373953.33,47289.98,186137.15,376920.59,452821.43,280805.54,2047908.73,286153.24,1224958.83,767235.02,50684.93,64580.46,652251.18,745413.74,-104504.04,2195945.88
2012-13,Q3,506048.76,64858.7,355777.89,48003.94,194069.25,383184.32,377983.12,247602.22,2177528.2,189644.94,1377374.4,769338.93,48221.46,60195.96,528616.54,736031.6,107406.59,2344767.21
2012-13,Q4,402678.1,71351.53,398803.21,47861.15,209977.9,416943.03,406740.09,291895.99,2246250.99,269642.19,1351601.7,845527.46,54053.04,65403.75,576192.15,719914.21,24575.79,2467081.87
2013-14,Q1,354449.52,68133.94,383075.92,49464.1,198716.44,388784.29,494882.78,268722.6,2206229.59,272180.59,1321378.64,785524.88,31849.09,37116.57,550329.83,657363.38,6380.15,2347396.37
2013-14,Q2,289365.47,55660.81,387587.27,50076.29,194457.78,401894.76,524246.02,290608.81,2193897.21,279484.71,1299202.94,779670.09,32224.17,37741.67,645078.06,684552.49,-31770.28,2357078.87
2013-14,Q3,539360.33,64419.19,377185.58,49637.36,198469.68,417976.1,409823.15,258069.54,2314940.95,195395.2,1473208.35,787578.62,31359.37,32398.86,613839.61,632540.66,-3242.0,2497997.34
2013-14,Q4,426023.07,74892.02,412860.0,50423.26,209126.98,443406.52,438454.74,293392.61,2348579.19,232764.62,1463539.42,842150.72,34325.35,41621.99,659021.41,670098.55,-4429.4,2598897.56
2014-15,Q1,362652.81,79535.74,422168.54,53899.61,209578.95,432297.62,540066.66,276953.9,2377153.85,278563.61,1417165.14,808569.27,68881.01,49133.32,622484.58,663204.89,-45841.46,2535750.59
2014-15,Q2,299493.88,57939.66,423756.92,54880.05,204911.79,432834.33,592769.18,312770.0,2379355.82,307608.74,1412804.02,815553.18,69140.17,45222.8,626568.09,681671.43,-32983.98,2562241.58
2014-15,Q3,522894.15,68662.61,389832.86,53220.85,206558.37,440657.7,459477.7,315706.0,2457010.25,251973.19,1504575.61,793636.72,63605.12,40230.96,635337.96,680646.15,37233.73,2645947.14
2014-15,Q4,420673.41,82547.44,448178.38,52046.48,214179.51,501900.39,481400.89,297685.26,2498611.78,216005.34,1578111.95,860336.92,73124.77,53369.71,627754.0,642072.79,17103.32,2783733.23
2015-16,Q1,371273.07,87184.26,466223.73,55231.76,218252.83,475242.25,594978.05,291805.26,2560191.21,291843.21,1517932.64,838302.2,58663.82,41485.5,582461.47,624902.04,22491.79,2728278.58
2015-16,Q2,307806.19,63469.33,472854.57,57848.31,205790.45,467654.98,669972.59,332828.21,2578224.63,335329.05,1513130.3,844359.45,59498.16,48494.58,596858.61,656932.97,27349.91,2768087.1
2015-16,Q3,511553.11,75874.85,450360.0,55199.98,216448.58,484331.2,506287.94,336948.42,2637004.08,272799.17,1633448.36,874854.68,56667.72,45507.31,578983.46,614329.55,-11543.77,2836387.39
2015-16,Q4,425513.56,91445.36,514411.29,55877.95,224843.08,565595.47,523545.89,315215.69,2716448.28,232831.07,1716907.4,934666.73,64727.14,50499.02,611978.09,615375.22,40503.68,3036737.91
2016-17,Q1,389609.65,93381.81,512044.79,62529.07,234541.37,520052.55,675148.74,311418.39,2798726.37,298932.96,1623632.81,953527.4,30561.57,35095.09,603117.81,627452.85,47672.99,2965087.78
2016-17,Q2,326769.16,67440.7,508973.89,62354.65,222843.92,503823.26,745019.24,354768.89,2791993.72,343179.35,1658457.34,913934.79,30378.29,37226.33,611524.27,656241.4,97296.87,3035755.83
2016-17,Q3,549199.1,82751.16,487552.76,60850.25,232427.07,522805.09,532369.69,367658.94,2835614.06,289775.4,1816561.27,933180.02,29099.76,35698.27,618791.55,679557.01,36072.37,3079621.61
2016-17,Q4,460425.93,105674.05,546192.9,60763.04,226632.17,599697.74,540428.88,362136.08,2901950.79,269710.36,1801584.59,986925.09,32599.72,43459.2,654988.95,658341.52,96801.92,3227728.31
2017-18,Q1,413332.38,84065.06,511988.6,69161.27,235401.37,579122.39,694096.26,350940.12,2938107.45,363307.43,1763224.96,963708.7,47837.28,69319.14,626932.7,763828.39,75834.47,3146336.28
2017-18,Q2,348961.89,69707.3,553424.47,69358.7,226647.31,557968.28,740832.57,379769.53,2946670.05,368364.43,1738953.32,972543.45,51708.81,51039.55,639985.65,725604.21,100204.49,3197195.49
