date,value
2000-01-01,468395521654.458
2001-01-01,485440139204.171
2002-01-01,514939140318.756
2003-01-01,607700687237.318
2004-01-01,709152728830.775
2005-01-01,820383763511.445
2006-01-01,940259888787.721
2007-01-01,1216736438834.96
2008-01-01,1198895139005.92
2009-01-01,1341888016994.9
2010-01-01,1675615519484.96
2011-01-01,1823051829894.55
2012-01-01,1827637590410.41
2013-01-01,1856721507621.58
2014-01-01,2039126479154.52
2015-01-01,2103588360044.94
2016-01-01,2294796885663.16
2017-01-01,2651474262755.45
2018-01-01,2702929641648.74
2019-01-01,2835606256558.19
2020-01-01,2674851578587.27
2021-01-01,3167270623260.47
2022-01-01,3346107287730.93
2023-01-01,3638489096033.86
2024-01-01,3909891533858.08
