date,value
2000-01-01,-0.906450287751646
2001-01-01,-0.876495485614968
2002-01-01,-0.979895086431919
2003-01-01,-0.696608416561172
2004-01-01,-1.78556413335122
2005-01-01,-2.79117622520215
2006-01-01,-3.18859765487213
2007-01-01,-4.08686918154154
2008-01-01,-5.17350591894442
2009-01-01,-5.471830894171
2010-01-01,-4.45333999982715
2011-01-01,-6.54305737438719
2012-01-01,-6.72486040591518
2013-01-01,-2.98240934563964
2014-01-01,-2.98625973083243
2015-01-01,-2.29653555305562
2016-01-01,-1.76601589208677
2017-01-01,-3.15896727592607
2018-01-01,-3.76131213467656
2019-01-01,-2.57687373613013
2020-01-01,-0.393151469925627
2021-01-01,-2.62477212294165
2022-01-01,-3.57218774082861
2023-01-01,-2.09544672104786
2024-01-01,-2.32560140279504
