date,value
2000-01-01,1.8791456746
2000-04-01,0.6116375183
2000-07-01,-0.0451332109
2000-10-01,1.0363330442
2001-01-01,0.5847957883
2001-04-01,-0.7586460643
2001-07-01,-1.177252022
2001-10-01,-0.2183521819
2002-01-01,0.2535556665
2002-04-01,0.7177072257
2002-07-01,0.3077069601
2002-10-01,0.2335861803
2003-01-01,-0.1149958171
2003-04-01,0.8251119789
2003-07-01,0.2901458623
2003-10-01,1.011327337
2004-01-01,0.8555411107
2004-04-01,-0.0729344139
2004-07-01,0.5541783612
2004-10-01,-0.3811643579
2005-01-01,0.6190192968
2005-04-01,0.9611549334
2005-07-01,0.9011589312
2005-10-01,0.2812815278
2006-01-01,0.0776765855
2006-04-01,0.2769286667
2006-07-01,-0.0138324271
2006-10-01,1.34414997
2007-01-01,0.7187303864
2007-04-01,0.1549147501
2007-07-01,-0.6560698682
2007-10-01,0.5676381569
2008-01-01,0.2084682641
2008-04-01,-0.4794450097
2008-07-01,-1.1113362579
2008-10-01,-2.373927771
2009-01-01,-4.4352411419
2009-04-01,1.1190084116
2009-07-01,-0.6493851914
2009-10-01,1.605487828
2010-01-01,1.2398187413
2010-04-01,1.3786292406
2010-07-01,1.7244520398
2010-10-01,-0.8590121262
2011-01-01,-1.4346402233
2011-04-01,-0.6396674871
2011-07-01,2.3935455665
2011-10-01,0.0347175849
2012-01-01,1.5200236316
2012-04-01,-0.926725457
2012-07-01,-0.3954007394
2012-10-01,-0.0547667813
2013-01-01,1.277357741
2013-04-01,1.0257923869
2013-07-01,0.9488288072
2013-10-01,-0.1406598767
2014-01-01,1.0469098284
2014-04-01,-1.4400160707
2014-07-01,0.1957817243
2014-10-01,0.5779506798
2015-01-01,1.610956788
2015-04-01,0.0595788577
2015-07-01,0.1471354178
2015-10-01,-0.1921674542
2016-01-01,0.8684622915
2016-04-01,-0.341818161
2016-07-01,0.2247886749
2016-10-01,0.0157343092
2017-01-01,0.7282147093
2017-04-01,0.3215368304
2017-07-01,1.1379159534
2017-10-01,0.1558616235
2018-01-01,-0.154412991
2018-04-01,0.6304795507
2018-07-01,-0.4895146876
2018-10-01,0.069809397
2019-01-01,0.1290856968
2019-04-01,0.3904555037
2019-07-01,0.0502981416
2019-10-01,-2.8781208685
2020-01-01,0.3931739631
2020-04-01,-7.2401830181
2020-07-01,4.9946573859
2020-10-01,1.6697425246
2021-01-01,1.0870646586
2021-04-01,0.6981320861
2021-07-01,-0.142902614
2021-10-01,1.1971655649
2022-01-01,-0.3250008384
2022-04-01,0.9068461421
2022-07-01,-0.3597802362
2022-10-01,0.4634436375
2023-01-01,0.8159416022
2023-04-01,0.0795630149
2023-07-01,-1.3660923089
2023-10-01,0.5289645209
2024-01-01,-0.2995330162
2024-04-01,-0.0209113219
2024-07-01,0.6834865651
2024-10-01,0.3481387861
2025-01-01,0.5073262254
2025-04-01,0.270451708
2025-07-01,-0.5874929249
2025-10-01,0.1842364822
2026-01-01,0.4526321206
