date,value
2000-01-01,103.0037
2000-02-01,102.8974
2000-03-01,104.3856
2000-04-01,105.9801
2000-05-01,105.3423
2000-06-01,106.7242
2000-07-01,106.5116
2000-08-01,107.9997
2000-09-01,105.7675
2000-10-01,107.362
2000-11-01,107.7871
2000-12-01,108.8501
2001-01-01,104.8108
2001-02-01,105.7675
2001-03-01,103.9604
2001-04-01,103.2163
2001-05-01,101.1966
2001-06-01,100.1336
2001-07-01,98.75174
2001-08-01,97.36985
2001-09-01,95.56277
2001-10-01,95.56277
2001-11-01,94.07458
2001-12-01,95.03127
2002-01-01,94.49978
2002-02-01,95.66907
2002-03-01,96.09426
2002-04-01,95.98796
2002-05-01,99.81473
2002-06-01,98.64544
2002-07-01,99.38953
2002-08-01,99.81473
2002-09-01,100.4525
2002-10-01,100.4525
2002-11-01,100.3462
2002-12-01,100.2399
2003-01-01,101.6218
2003-02-01,101.1871
2003-03-01,101.9479
2003-04-01,100.5349
2003-05-01,101.8392
2003-06-01,100.9697
2003-07-01,101.4044
2003-08-01,100.4263
2003-09-01,103.4695
2003-10-01,104.665
2003-11-01,104.8824
2003-12-01,104.5563
2004-01-01,106.404
2004-02-01,106.0779
2004-03-01,105.5345
2004-04-01,107.3822
2004-05-01,107.4909
2004-06-01,107.8169
2004-07-01,109.3385
2004-08-01,107.8169
2004-09-01,108.143
2004-10-01,106.0779
2004-11-01,107.3822
2004-12-01,105.9693
2005-01-01,108.4691
2005-02-01,108.4691
2005-03-01,108.7951
2005-04-01,109.2299
2005-05-01,108.3604
2005-06-01,108.7951
2005-07-01,108.143
2005-08-01,108.143
2005-09-01,109.0125
2005-10-01,108.0343
2005-11-01,110.208
2005-12-01,110.6428
2006-01-01,110.9688
2006-02-01,110.7515
2006-03-01,111.5123
2006-04-01,113.5773
2006-05-01,111.8383
2006-06-01,113.3599
2006-07-01,113.7947
2006-08-01,114.1208
2006-09-01,114.0121
2006-10-01,114.4468
2006-11-01,115.5337
2006-12-01,115.6424
2007-01-01,114.4468
2007-02-01,115.0989
2007-03-01,115.0989
2007-04-01,114.7729
2007-05-01,116.0771
2007-06-01,116.0771
2007-07-01,116.1858
2007-08-01,119.1203
2007-09-01,117.3813
2007-10-01,118.903
2007-11-01,117.7074
2007-12-01,118.3595
2008-01-01,119.1635
2008-02-01,119.4714
2008-03-01,118.2398
2008-04-01,117.7266
2008-05-01,118.3424
2008-06-01,115.1606
2008-07-01,115.1606
2008-08-01,110.9524
2008-09-01,112.3894
2008-10-01,109.926
2008-11-01,102.844
2008-12-01,94.53023
2009-01-01,86.93496
2009-02-01,79.64761
2009-03-01,80.36609
2009-04-01,83.8558
2009-05-01,86.93496
2009-06-01,88.3719
2009-07-01,89.39829
2009-08-01,90.73259
2009-09-01,93.50384
2009-10-01,96.0698
2009-11-01,98.01994
2009-12-01,98.84105
2010-01-01,101.0991
2010-02-01,101.407
2010-03-01,101.7149
2010-04-01,102.9466
2010-05-01,102.536
2010-06-01,101.9202
2010-07-01,103.1519
2010-08-01,103.6651
2010-09-01,104.9994
2010-10-01,102.0229
2010-11-01,103.7677
2010-12-01,104.0756
2011-01-01,104.7941
2011-02-01,105.2046
2011-03-01,88.57718
2011-04-01,90.2194
2011-05-01,96.17244
2011-06-01,100.0727
2011-07-01,100.9965
2011-08-01,102.536
2011-09-01,101.9202
2011-10-01,103.5624
2011-11-01,101.5097
2011-12-01,103.5624
2012-01-01,103.8703
2012-02-01,103.6651
2012-03-01,103.4598
2012-04-01,102.9466
2012-05-01,101.0991
2012-06-01,100.3806
2012-07-01,99.86744
2012-08-01,98.63577
2012-09-01,96.48036
2012-10-01,96.78828
2012-11-01,96.0698
2012-12-01,97.40411
2013-01-01,95.39062
2013-02-01,96.99046
2013-03-01,97.89037
2013-04-01,98.09035
2013-05-01,99.5902
2013-06-01,98.5903
2013-07-01,100.0901
2013-08-01,100.3901
2013-09-01,101.19
2013-10-01,101.49
2013-11-01,101.89
2013-12-01,101.89
2014-01-01,103.5898
2014-02-01,102.8899
2014-03-01,104.2897
2014-04-01,99.79018
2014-05-01,101.89
2014-06-01,100.5901
2014-07-01,100.3901
2014-08-01,99.49021
2014-09-01,100.5901
2014-10-01,100.5901
2014-11-01,100.5901
2014-12-01,100.1901
2015-01-01,102.6899
2015-02-01,99.79018
2015-03-01,99.29023
2015-04-01,99.69019
2015-05-01,99.69019
2015-06-01,100.4901
2015-07-01,100.3901
2015-08-01,98.79028
2015-09-01,100.4901
2015-10-01,100.5901
2015-11-01,99.99016
2015-12-01,98.09035
2016-01-01,100.2901
2016-02-01,99.49021
2016-03-01,99.89017
2016-04-01,99.19024
2016-05-01,98.69029
2016-06-01,99.19024
2016-07-01,99.69019
2016-08-01,100.5901
2016-09-01,100.9901
2016-10-01,101.09
2016-11-01,102.09
2016-12-01,101.49
2017-01-01,100.6901
2017-02-01,101.39
2017-03-01,101.49
2017-04-01,103.7898
2017-05-01,102.1899
2017-06-01,102.9899
2017-07-01,102.4899
2017-08-01,103.7898
2017-09-01,102.5899
2017-10-01,103.1898
2017-11-01,103.9898
2017-12-01,105.4896
2018-01-01,102.1546
2018-02-01,104.1594
2018-03-01,105.1618
2018-04-01,103.8861
2018-05-01,104.1594
2018-06-01,103.7038
2018-07-01,103.5215
2018-08-01,103.8861
2018-09-01,102.1546
2018-10-01,105.8909
2018-11-01,104.3417
2018-12-01,104.4328
2019-01-01,101.9724
2019-02-01,103.5215
2019-03-01,102.7014
2019-04-01,102.5191
2019-05-01,103.6127
2019-06-01,102.3369
2019-07-01,102.2458
2019-08-01,101.2433
2019-09-01,102.428
2019-10-01,98.78288
2019-11-01,98.05386
2019-12-01,98.41837
2020-01-01,98.5095
2020-02-01,96.04903
2020-03-01,96.14017
2020-04-01,87.11848
2020-05-01,79.73711
2020-06-01,81.92418
2020-07-01,86.57172
2020-08-01,89.1233
2020-09-01,91.03699
2020-10-01,95.22888
2020-11-01,94.49986
2020-12-01,94.40873
2021-01-01,96.96032
2021-02-01,96.14017
2021-03-01,96.77806
2021-04-01,98.78288
2021-05-01,94.68211
2021-06-01,98.87401
2021-07-01,97.41596
2021-08-01,94.3176
2021-09-01,89.57894
2021-10-01,93.49745
2021-11-01,97.59821
2021-12-01,96.32242
2022-01-01,95.68452
2022-02-01,96.68694
2022-03-01,96.04903
2022-04-01,95.68452
2022-05-01,91.12812
2022-06-01,96.14017
2022-07-01,96.5958
2022-08-01,97.96273
2022-09-01,97.14258
2022-10-01,96.86919
2022-11-01,96.14017
2022-12-01,95.86678
2023-01-01,92.13053
2023-02-01,95.13776
2023-03-01,95.13776
2023-04-01,95.50227
2023-05-01,93.13293
2023-06-01,95.50227
2023-07-01,94.3176
2023-08-01,94.04422
