date,value
1961-01-01,7.45029
1961-04-01,5.002099
1961-07-01,3.57695
1961-10-01,2.996161
1962-05-01,24.76719
1962-06-01,24.91737
1962-07-01,25.05943
1962-08-01,25.19255
1962-09-01,25.3266
1962-10-01,25.4707
1962-11-01,100.0112
1962-11-01,25.62479
1962-12-01,25.77726
1962-01-01,3.466854
1962-04-01,5.112241
1962-07-01,5.465212
1962-10-01,4.759933
1963-01-01,25.9159
1963-02-01,26.03576
1963-03-01,26.1527
1963-04-01,26.2742
1963-05-01,26.40127
1963-06-01,26.53084
1963-07-01,26.65688
1963-08-01,26.77174
1963-09-01,26.87612
1963-10-01,26.97573
1963-11-01,27.07419
1963-12-01,27.17271
1963-01-01,-0.3724608
1963-04-01,3.02141
1963-07-01,4.102017
1963-10-01,23.146
1963-10-01,4.832455
1964-01-01,27.2654
1964-01-01,5.207217
1964-02-01,5.023148
1964-02-01,27.34358
1964-03-01,4.794561
1964-03-01,27.4066
1964-04-01,4.509741
1964-04-01,27.4591
1964-05-01,27.50705
1964-06-01,27.5545
1964-07-01,27.60849
1964-01-01,23.57955
1964-01-01,10.12713
1964-04-01,6.688293
1964-04-01,24.00631
1964-07-01,4.182534
1964-07-01,24.23186
1964-10-01,24.94047
1964-10-01,5.091161
1965-09-01,100.0579
1965-10-01,100.0097
1965-11-01,100.9893
1965-11-01,101.1367
1965-11-01,99.96838
1965-12-01,101.2862
1965-01-01,5.36137
1965-04-01,5.732236
1965-07-01,5.341682
1965-10-01,4.549873
1966-01-01,4.73437
1966-04-01,3.424304
1966-07-01,2.86622
1966-10-01,0.657536
1967-10-01,3.502588
1967-01-01,-1.629791
1967-04-01,-2.237879
1967-07-01,0.0
1967-10-01,2.892641
1968-11-01,99.96915
1968-01-01,4.617509
1968-04-01,5.761267
1968-07-01,5.5347
1968-10-01,5.76758
1969-01-01,7.174888
1969-04-01,7.712806
1969-07-01,7.663339
1969-10-01,7.692304
1970-12-01,100.1092
1970-01-01,3.372586
1970-04-01,6.120868
1970-07-01,5.829537
1970-10-01,5.111266
1971-01-01,100.0355
1971-02-01,99.96957
1971-01-01,4.763644
1971-04-01,2.872244
1971-07-01,2.733086
1971-10-01,1.783876
1972-01-01,3.882472
1972-04-01,3.408694
1972-07-01,4.024254
1972-10-01,5.729688
1973-01-01,7.083374
1973-04-01,6.141302
1974-09-01,95.80893
1974-10-01,95.49532
1974-11-01,95.34321
1974-12-01,95.27293
1975-01-01,95.28081
1975-02-01,95.4519
1975-03-01,95.82764
1975-04-01,96.42229
1975-05-01,97.19972
1975-06-01,98.0731
1975-07-01,98.95776
1975-08-01,99.76695
1975-09-01,100.4563
1975-10-01,101.0465
1975-11-01,101.5654
1975-12-01,102.0379
1976-01-01,102.495
1976-02-01,102.9189
1976-03-01,103.3121
1976-04-01,103.6645
1976-05-01,103.9202
1976-06-01,104.0072
1976-07-01,103.8879
1976-08-01,103.5441
1976-09-01,102.9992
1976-10-01,102.2997
1976-11-01,101.5405
1976-12-01,100.8239
1977-01-01,100.2373
1977-02-01,99.82104
1977-03-01,99.51282
1977-04-01,99.28984
1977-05-01,99.11488
1977-06-01,98.98367
1977-07-01,98.9178
1980-04-01,100.9048
1980-05-01,100.5308
1980-06-01,100.1152
1980-07-01,99.72566
1980-08-01,99.39834
1980-09-01,99.13167
1980-10-01,98.92342
1980-11-01,98.75841
1980-12-01,98.62681
1980-10-01,25.31199
1981-01-01,98.55077
1981-02-01,98.53868
1981-03-01,98.61527
1981-04-01,98.8046
1981-05-01,99.07935
1981-06-01,99.37789
1981-07-01,99.67244
1981-08-01,99.92958
1981-09-01,100.101
1981-10-01,100.1738
1981-11-01,100.1179
1981-12-01,99.94199
1982-01-01,99.69916
1982-02-01,99.41498
1982-03-01,99.15875
1982-04-01,98.95055
1982-05-01,98.78214
1982-06-01,98.66402
1982-07-01,98.5876
1982-08-01,98.49715
1982-09-01,98.42924
1982-10-01,98.42416
1982-11-01,98.4777
1982-12-01,98.59435
1982-04-01,1.122658
1982-07-01,1.435325
1982-10-01,1.468967
