date,value
2000-01-01,4968359075956.59
2001-01-01,4374711694090.87
2002-01-01,4182846045873.61
2003-01-01,4519561645253.53
2004-01-01,4893116005656.56
2005-01-01,4831467035389.8
2006-01-01,4601663122649.92
2007-01-01,4579750920354.81
2008-01-01,5106679115127.3
2009-01-01,5289493117993.89
2010-01-01,5759071769013.11
2011-01-01,6233147172341.35
2012-01-01,6272362996105.03
2013-01-01,5212328181166.18
2014-01-01,4896994405353.29
2015-01-01,4444930651964.18
2016-01-01,5003677627544.24
2017-01-01,4930837369151.42
2018-01-01,5040880939324.86
2019-01-01,5117993853016.51
2020-01-01,5054068005376.28
2021-01-01,5039148168861.22
2022-01-01,4262463317796.53
2023-01-01,4213167237905.83
2024-01-01,4027597523550.58
