date,value
2000-01-01,10250952000000.0
2001-01-01,10581929000000.0
2002-01-01,10929108000000.0
2003-01-01,11456450000000.0
2004-01-01,12217196000000.0
2005-01-01,13039197000000.0
2006-01-01,13815583000000.0
2007-01-01,14474228000000.0
2008-01-01,14769862000000.0
2009-01-01,14478067000000.0
2010-01-01,15048971000000.0
2011-01-01,15599732000000.0
2012-01-01,16253970000000.0
2013-01-01,16880683000000.0
2014-01-01,17608138000000.0
2015-01-01,18295019000000.0
2016-01-01,18804913000000.0
2017-01-01,19612102000000.0
2018-01-01,20656516000000.0
2019-01-01,21539982000000.0
2020-01-01,21375281000000.0
2021-01-01,23725645000000.0
2022-01-01,26054614000000.0
2023-01-01,27811517000000.0
2024-01-01,29298013000000.0
2025-01-01,30769700000000.0
