date,value
2000-01-01,-3.71744154893307
2001-01-01,-3.5602863376175
2002-01-01,-4.02361108180165
2003-01-01,-4.55599564098558
2004-01-01,-5.19056210148016
2005-01-01,-5.67444356856831
2006-01-01,-5.69250516072971
2007-01-01,-5.08443735772705
2008-01-01,-5.01610106518512
2009-01-01,-2.8950899302549
2010-01-01,-3.53717361736628
2011-01-01,-3.71555193417392
2012-01-01,-3.39373657217083
2013-01-01,-2.84063156559137
2014-01-01,-2.89960272168766
2015-01-01,-2.87992641258081
2016-01-01,-2.69199794670038
2017-01-01,-2.78954465171931
2018-01-01,-2.88840084059665
2019-01-01,-2.70001704686905
2020-01-01,-2.97335193646103
2021-01-01,-3.68872411908149
2022-01-01,-3.74513047688775
2023-01-01,-2.92150450779914
2024-01-01,-3.16372087197389
